geometry,edit,control,delta,rho,seed,status,regime,support_norm,frac_within,decay_length,residual_fraction,floored_fraction,converged,n_iters,energy_final,pin_path,error_msg
blob,static_far,mask,0.0,0.25,0,ok,contained,0.19205428803001778,0.6779224853701808,2.4910698085427,0.36967499293593853,0.0,True,23,3.062262417249692,,
blob,static_far,mask,0.0,0.25,1,ok,contained,0.18533542975548978,0.6917416002625525,2.4299849482487668,0.3345617268798691,0.0,True,32,2.257485237451915,,
blob,static_far,mask,0.0,0.25,2,ok,contained,0.18804805367090738,0.6930477777764839,2.4411494016307866,0.3418523318424168,0.0,True,43,2.6802640978617287,,
blob,static_far,mask,0.02,0.25,0,ok,contained,0.19340747317544735,0.6826907477295246,2.6272853572587413,0.3692736525033209,0.0,True,25,2.6455210911505773,,
blob,static_far,mask,0.02,0.25,1,ok,contained,0.18744542160158154,0.6941473763895781,2.547235273322081,0.33935213743470083,0.0,True,32,1.9773120337438939,,
blob,static_far,mask,0.02,0.25,2,ok,contained,0.18985939735074328,0.6951873086751219,2.5968958209343023,0.3463471101937736,0.0,True,43,2.3662540513808032,,
blob,static_far,mask,0.04,0.25,0,ok,contained,0.1924756693971552,0.6891841609622884,2.719039790380381,0.34634612438089657,0.0,True,26,2.2316940432992602,,
blob,static_far,mask,0.04,0.25,1,ok,contained,0.18736151348820687,0.6997136485596962,2.6834710577675405,0.32580459752925545,0.0,True,31,1.6887763525338042,,
blob,static_far,mask,0.04,0.25,2,ok,contained,0.18968868965418303,0.7005497016979266,2.7849553516453067,0.33099920622490053,0.0,True,47,1.9614010299428388,,
blob,static_far,mask,-0.04,0.5,0,ok,contained,0.18822818223679447,0.6837027955674597,2.400130768162557,0.34007323536615786,0.0,True,23,3.3647252930065474,,
blob,static_far,mask,-0.04,0.5,1,ok,contained,0.18196171830117058,0.6985822282064013,2.365147924911901,0.31469803101977156,0.0,True,26,2.445377433559024,,
blob,static_far,mask,-0.04,0.5,2,ok,contained,0.18481222109022552,0.6987571963416799,2.3695822063654934,0.3220670786965176,0.0,True,40,2.9290289226847865,,
blob,static_far,mask,-0.02,0.5,0,ok,contained,0.18883069223565432,0.6820148636850831,2.4083986404009936,0.34524937633464076,0.0,True,22,3.332942136513739,,
blob,static_far,mask,-0.02,0.5,1,ok,contained,0.18234004157879527,0.6970774387450391,2.3702100448803867,0.3173992005869141,0.0,True,26,2.4298294005388286,,
