geometry,edit,K,gamma_norm,seed,status,regime,support_norm,frac_within,decay_length,residual_fraction,floored_fraction,is_degenerate,kernel_live,n_edges,converged,energy_final,error_msg
bar,static_far,6,20.0,1,ok,contained,0.2228208767814846,0.5517198885632867,1.5260525748513343,0.5179363548504086,0.05864579041340475,False,True,7281,False,5.5329367938963644e-05,
bar,static_far,6,20.0,2,ok,contained,0.22059542047374703,0.5562838530149571,1.4902451919553532,0.46771527399648555,0.051955230067707615,False,True,7237,False,5.108575694772559e-05,
bar,static_far,6,50.0,0,ok,degenerate,,,1.2789594635042927,0.4312149678323169,0.6071133167907361,True,False,7254,False,8.209440303013244e-08,
bar,static_far,6,50.0,1,ok,degenerate,,,1.3140837606315243,0.46793486989804434,0.6074715011674221,True,False,7281,False,3.2299952633258997e-07,
bar,static_far,6,50.0,2,ok,degenerate,,,1.5608553059118262,0.48274997233171846,0.5996960066325826,True,False,7237,False,4.551454210832211e-07,
bar,static_far,8,1.0,0,ok,contained,0.21640424216668963,0.5713930803476603,1.4249599135248698,0.4400998021151297,0.0,False,True,9525,True,0.2182483657832016,
bar,static_far,8,1.0,1,ok,contained,0.21358722102214303,0.5759456941647007,1.4023449547575315,0.44070446349613895,0.0,False,True,9545,True,0.2623745139659694,
bar,static_far,8,1.0,2,ok,contained,0.2153560583399335,0.5726891108981562,1.4411052288724768,0.4283087895168981,0.0,False,True,9517,True,0.22828068976418092,
bar,static_far,8,2.0,0,ok,contained,0.21615598774464698,0.5726172574460433,1.423429858355488,0.4385559908244403,0.0,False,True,9525,True,0.11000952030021827,
bar,static_far,8,2.0,1,ok,contained,0.21344368898974272,0.5766453145683895,1.4012773521142485,0.4396641490160572,0.0,False,True,9545,True,0.13459512240247534,
bar,static_far,8,2.0,2,ok,contained,0.21515162340604435,0.5741553195833288,1.4490934376179176,0.42729621899784187,0.0,False,True,9517,True,0.1130022430030932,
bar,static_far,8,3.0,0,ok,contained,0.21592399655763628,0.5737010716087284,1.421458173566888,0.43707823221876685,0.0,False,True,9525,True,0.0575642211047263,
bar,static_far,8,3.0,1,ok,contained,0.21331509927318745,0.5772855438697697,1.4000999491460981,0.43872137741590495,0.0,False,True,9545,True,0.07152879425170411,
bar,static_far,8,3.0,2,ok,contained,0.21502126752250142,0.575303229040421,1.457070580666074,0.42674616464062964,0.0,False,True,9517,True,0.0579770678850703,
bar,static_far,8,5.0,0,ok,contained,0.21549105566615662,0.5754677664163844,1.4154777355321948,0.43415039243033116,0.0,False,True,9525,True,0.017317809477871864,
bar,static_far,8,5.0,1,ok,contained,0.21314183304090314,0.5783127369445771,1.3986757357897956,0.4375107552588764,0.0,False,True,9545,True,0.021928633451486462,
bar,static_far,8,5.0,2,ok,contained,0.21499720453896307,0.5766141774884989,1.4735574870170065,0.42716750001512444,0.0,False,True,9517,True,0.0169075877394051,
bar,static_far,8,20.0,0,ok,contained,0.21417015525932845,0.5711955991345866,1.3033801650297996,0.4155542695890591,0.12188976377952757,False,True,9525,False,4.341828068545961e-05,
bar,static_far,8,20.0,1,ok,contained,0.22277927002142547,0.5517503426013473,1.5231374513759615,0.5174441833770602,0.12090099528548978,False,True,9545,False,5.565083430903304e-05,
bar,static_far,8,20.0,2,ok,contained,0.2206168175880595,0.556158435911686,1.4903110410180729,0.46783166103678586,0.11442681517284858,False,True,9517,False,5.125294668380996e-05,
bar,static_far,8,50.0,0,ok,degenerate,,,1.321751435367377,0.4461994815710654,0.6992125984251969,True,False,9525,False,1.1052147597376611e-07,
bar,static_far,8,50.0,1,ok,degenerate,,,1.3122732177114953,0.46411370649224076,0.6998428496595076,True,False,9545,False,3.709706483767593e-07,
bar,static_far,8,50.0,2,ok,degenerate,,,1.541041255864281,0.4817200660698247,0.6942313754334349,True,False,9517,False,4.899909856617877e-07,
bar,static_far,12,1.0,0,ok,contained,0.21633075713875885,0.5719905471682172,1.4294064264534065,0.4398868651227792,0.0,False,True,14102,True,0.4078886779552694,
bar,static_far,12,1.0,1,ok,contained,0.21348714332972876,0.5750563122596888,1.390018898603055,0.4391809492165133,0.0,False,True,14074,True,0.5026066264212079,
